TransactionID;Date;Amount;Currency;Description
T0543;2023-03-06;235.19;USD;Transaction;543
T0544;2023-12-27;665.12;USD;Transaction;544
T0545;2023-08-19;31.23;GBP;Transaction;545
T0546;2023-01-28;701.99;GBP;Transaction;546
T0547;2023-05-04;471.41;EUR;Transaction;547
T0548;2023-05-08;646.6;USD;Transaction;548
T0549;2023-10-01;236.3;GBP;Transaction;549
T0550;2023-10-08;649.6;CAD;Transaction;550
T0551;2023-06-20;695.38;GBP;Transaction;551
T0552;2023-02-07;734.03;USD;Transaction;552
T0553;2023-07-12;352.84;CAD;Transaction;553
T0554;2023-09-26;634.18;EUR;Transaction;554
T0555;2023-06-12;982.94;EUR;Transaction;555
T0556;2023-11-09;223.65;EUR;Transaction;556
T0557;2023-09-02;47.71;CAD;Transaction;557
T0558;2023-11-22;293.98;CAD;Transaction;558
T0559;2023-12-24;470.06;USD;Transaction;559
T0560;2023-07-11;695.43;GBP;Transaction;560
T0561;2023-04-11;308.09;EUR;Transaction;561
T0562;2023-02-17;863.85;CAD;Transaction;562
T0563;2023-01-27;937.86;GBP;Transaction;563
T0564;2023-10-11;332.75;USD;Transaction;564
T0565;2023-12-18;97.36;USD;Transaction;565
T0566;2023-03-07;34.89;EUR;Transaction;566
T0567;2023-08-21;729.98;USD;Transaction;567
T0568;2023-06-11;582.02;GBP;Transaction;568
T0569;2023-06-01;333.27;EUR;Transaction;569
T0570;2023-01-13;854.0;GBP;Transaction;570
T0571;2023-08-20;143.77;USD;Transaction;571
T0572;2023-06-10;527.59;EUR;Transaction;572
T0573;2023-08-09;940.24;USD;Transaction;573
T0574;2023-08-09;361.85;EUR;Transaction;574
T0575;2023-11-06;973.9;EUR;Transaction;575
T0576;2023-04-14;511.81;CAD;Transaction;576
T0577;2023-11-26;187.86;GBP;Transaction;577
T0578;2023-06-10;357.05;GBP;Transaction;578
T0579;2023-12-01;503.38;CAD;Transaction;579
T0580;2023-12-11;396.96;USD;Transaction;580
T0581;2023-11-07;204.04;EUR;Transaction;581
T0582;2023-04-23;228.59;GBP;Transaction;582
T0583;2023-01-07;466.92;CAD;Transaction;583
T0584;2023-02-16;513.31;CAD;Transaction;584
T0585;2023-02-13;570.58;USD;Transaction;585
T0586;2023-06-16;275.7;GBP;Transaction;586
T0587;2023-11-19;826.34;EUR;Transaction;587
T0588;2023-06-16;856.07;GBP;Transaction;588
T0589;2023-07-03;593.18;CAD;Transaction;589
T0590;2023-02-09;151.52;CAD;Transaction;590
T0591;2023-04-13;361.17;CAD;Transaction;591
T0592;2023-08-13;353.03;CAD;Transaction;592
T0593;2023-08-22;71.45;USD;Transaction;593
T0594;2023-07-13;603.67;EUR;Transaction;594
T0595;2023-10-19;683.89;GBP;Transaction;595
T0596;2023-08-13;632.23;USD;Transaction;596
T0597;2023-02-28;458.39;EUR;Transaction;597
T0598;2023-09-16;196.46;EUR;Transaction;598
T0599;2023-01-10;375.91;CAD;Transaction;599
T0600;2023-05-08;445.08;GBP;Transaction;600
T0601;2023-05-15;809.62;GBP;Transaction;601
T0602;2023-08-11;840.78;GBP;Transaction;602
T0603;2023-03-14;697.27;CAD;Transaction;603
T0604;2023-09-08;600.19;GBP;Transaction;604
T0605;2023-02-04;474.41;GBP;Transaction;605
T0606;2023-06-03;127.89;GBP;Transaction;606
T0607;2023-10-17;715.14;EUR;Transaction;607
T0608;2023-03-08;138.99;CAD;Transaction;608
T0609;2023-08-26;973.07;CAD;Transaction;609
T0610;2023-06-04;408.98;EUR;Transaction;610
T0611;2023-10-17;631.05;EUR;Transaction;611
T0612;2023-03-02;564.92;CAD;Transaction;612
T0613;2023-11-15;979.88;EUR;Transaction;613
T0614;2023-02-02;682.65;CAD;Transaction;614
T0615;2023-12-03;598.52;USD;Transaction;615
T0616;2023-12-28;526.58;USD;Transaction;616
T0617;2023-01-11;199.81;USD;Transaction;617
T0618;2023-03-13;409.34;USD;Transaction;618
T0619;2023-06-16;589.51;USD;Transaction;619
T0620;2023-07-28;253.71;USD;Transaction;620
T0621;2023-03-07;661.92;USD;Transaction;621
T0622;2023-07-27;526.74;EUR;Transaction;622
T0623;2023-03-15;582.81;GBP;Transaction;623
T0624;2023-11-08;168.97;EUR;Transaction;624
T0625;2023-02-25;543.55;USD;Transaction;625
T0626;2023-02-01;547.74;USD;Transaction;626
T0627;2023-11-25;858.76;GBP;Transaction;627
T0628;2023-12-03;722.95;GBP;Transaction;628
T0629;2023-01-13;78.11;EUR;Transaction;629
T0630;2023-11-28;466.71;CAD;Transaction;630
T0631;2023-11-11;207.65;GBP;Transaction;631
T0632;2023-11-14;146.93;CAD;Transaction;632
T0633;2023-11-15;896.95;USD;Transaction;633
T0634;2023-01-17;632.71;USD;Transaction;634
T0635;2023-08-17;394.94;GBP;Transaction;635
T0636;2023-02-22;456.86;USD;Transaction;636
T0637;2023-09-25;33.99;USD;Transaction;637
T0638;2023-04-16;152.91;USD;Transaction;638
T0639;2023-09-08;841.19;GBP;Transaction;639
T0640;2023-07-12;588.74;USD;Transaction;640
T0641;2023-01-28;596.93;CAD;Transaction;641
T0642;2023-05-18;25.21;EUR;Transaction;642
T0643;2023-05-22;319.21;USD;Transaction;643
T0644;2023-06-16;173.72;GBP;Transaction;644
T0645;2023-05-04;294.51;EUR;Transaction;645
T0646;2023-08-02;579.14;CAD;Transaction;646
T0647;2023-01-20;600.59;GBP;Transaction;647
T0648;2023-11-07;298.72;USD;Transaction;648
T0649;2023-01-10;682.73;USD;Transaction;649
T0650;2023-04-14;67.84;EUR;Transaction;650
T0651;2023-06-22;670.44;CAD;Transaction;651
T0652;2023-03-13;715.22;USD;Transaction;652
T0653;2023-12-20;878.17;GBP;Transaction;653
T0654;2023-07-15;914.87;USD;Transaction;654
T0655;2023-05-25;857.29;CAD;Transaction;655
T0656;2023-12-25;673.4;USD;Transaction;656
T0657;2023-10-06;731.97;GBP;Transaction;657
T0658;2023-11-28;568.4;USD;Transaction;658
T0659;2023-07-05;57.65;CAD;Transaction;659
T0660;2023-05-15;833.98;EUR;Transaction;660
T0661;2023-09-23;48.26;CAD;Transaction;661
T0662;2023-05-18;515.49;CAD;Transaction;662
T0663;2023-05-19;852.14;CAD;Transaction;663
T0664;2023-12-27;88.23;USD;Transaction;664
T0665;2023-06-15;817.99;EUR;Transaction;665
T0666;2023-01-23;775.08;GBP;Transaction;666
T0667;2023-08-03;658.84;EUR;Transaction;667
T0668;2023-02-26;515.51;USD;Transaction;668
T0669;2023-10-25;932.66;EUR;Transaction;669
T0670;2023-01-20;332.55;GBP;Transaction;670
T0671;2023-07-10;471.92;USD;Transaction;671
T0672;2023-12-13;255.89;CAD;Transaction;672
T0673;2023-01-24;739.0;CAD;Transaction;673
T0674;2023-07-22;344.38;GBP;Transaction;674
T0675;2023-12-21;782.6;CAD;Transaction;675
T0676;2023-10-17;791.97;CAD;Transaction;676
T0677;2023-06-02;93.17;USD;Transaction;677
T0678;2023-08-13;834.84;CAD;Transaction;678
T0679;2023-05-13;246.65;GBP;Transaction;679
T0680;2023-02-03;699.09;USD;Transaction;680
T0681;2023-01-28;633.02;EUR;Transaction;681
T0682;2023-02-16;683.11;EUR;Transaction;682
T0683;2023-11-01;539.44;EUR;Transaction;683
T0684;2023-11-15;954.69;CAD;Transaction;684
T0685;2023-07-19;997.0;GBP;Transaction;685
T0686;2023-10-22;861.69;CAD;Transaction;686
T0687;2023-05-28;454.15;GBP;Transaction;687
T0688;2023-06-14;46.43;USD;Transaction;688
T0689;2023-07-05;871.45;USD;Transaction;689
T0690;2023-11-10;734.1;EUR;Transaction;690
T0691;2023-08-02;638.84;CAD;Transaction;691
T0692;2023-09-24;423.56;CAD;Transaction;692
T0693;2023-04-16;892.27;EUR;Transaction;693
T0694;2023-10-22;668.74;CAD;Transaction;694
T0695;2023-02-25;515.29;USD;Transaction;695
T0696;2023-04-04;167.59;GBP;Transaction;696
T0697;2023-02-10;452.6;GBP;Transaction;697
T0698;2023-01-21;421.34;EUR;Transaction;698
T0699;2023-04-24;432.77;EUR;Transaction;699
T0700;2023-03-02;806.4;GBP;Transaction;700
T0701;2023-02-22;175.94;CAD;Transaction;701
T0702;2023-12-13;185.73;USD;Transaction;702
T0703;2023-10-17;600.16;USD;Transaction;703
T0704;2023-02-12;16.91;GBP;Transaction;704
T0705;2023-07-21;410.6;GBP;Transaction;705
T0706;2023-01-01;850.31;EUR;Transaction;706
T0707;2023-08-22;93.7;CAD;Transaction;707
T0708;2023-02-27;493.17;GBP;Transaction;708
T0709;2023-01-08;245.98;GBP;Transaction;709
T0710;2023-07-13;176.26;USD;Transaction;710
T0711;2023-06-07;382.77;USD;Transaction;711
T0712;2023-07-11;670.33;GBP;Transaction;712
T0713;2023-01-25;90.44;GBP;Transaction;713
T0714;2023-09-08;119.22;EUR;Transaction;714
T0715;2023-09-10;647.76;USD;Transaction;715
T0716;2023-10-04;878.07;EUR;Transaction;716
T0717;2023-01-22;246.21;EUR;Transaction;717
T0718;2023-02-28;827.03;CAD;Transaction;718
T0719;2023-03-10;123.41;EUR;Transaction;719
T0720;2023-07-03;611.33;USD;Transaction;720
T0721;2023-09-21;851.01;USD;Transaction;721
T0722;2023-07-26;839.13;GBP;Transaction;722
T0723;2023-08-25;129.63;USD;Transaction;723
T0724;2023-02-09;811.93;EUR;Transaction;724
T0725;2023-11-22;949.36;GBP;Transaction;725
T0726;2023-01-08;960.16;USD;Transaction;726
T0727;2023-06-28;763.14;GBP;Transaction;727
T0728;2023-08-20;20.35;USD;Transaction;728
T0729;2023-12-08;892.66;USD;Transaction;729
T0730;2023-06-08;806.23;CAD;Transaction;730
T0731;2023-10-22;163.7;GBP;Transaction;731
T0732;2023-07-18;15.8;CAD;Transaction;732
T0733;2023-10-22;805.94;EUR;Transaction;733
T0734;2023-02-25;798.26;CAD;Transaction;734
T0735;2023-02-11;74.75;CAD;Transaction;735
T0736;2023-04-08;391.91;GBP;Transaction;736
T0737;2023-11-09;844.75;EUR;Transaction;737
T0738;2023-12-18;91.82;GBP;Transaction;738
T0739;2023-02-18;288.61;USD;Transaction;739
T0740;2023-04-10;612.63;GBP;Transaction;740
T0741;2023-06-08;819.76;GBP;Transaction;741
T0742;2023-07-17;571.42;EUR;Transaction;742
T0743;2023-04-26;541.17;USD;Transaction;743
T0744;2023-12-26;435.14;EUR;Transaction;744
T0745;2023-03-28;618.26;USD;Transaction;745
T0746;2023-10-27;508.14;EUR;Transaction;746
T0747;2023-10-19;409.75;USD;Transaction;747
T0748;2023-03-11;806.32;CAD;Transaction;748
T0749;2023-12-09;344.27;GBP;Transaction;749
T0750;2023-02-26;654.09;CAD;Transaction;750
T0751;2023-03-03;785.28;CAD;Transaction;751
T0752;2023-03-24;643.38;EUR;Transaction;752
T0753;2023-06-26;336.56;EUR;Transaction;753
T0754;2023-01-05;433.11;EUR;Transaction;754
T0755;2023-02-02;776.04;EUR;Transaction;755
T0756;2023-08-11;401.37;CAD;Transaction;756
T0757;2023-09-13;263.73;CAD;Transaction;757
T0758;2023-02-04;587.91;GBP;Transaction;758
T0759;2023-11-15;608.59;USD;Transaction;759
T0760;2023-06-26;59.94;USD;Transaction;760
T0761;2023-08-11;602.23;USD;Transaction;761
T0762;2023-10-04;867.1;GBP;Transaction;762
T0763;2023-07-08;370.89;EUR;Transaction;763
T0764;2023-07-24;750.88;EUR;Transaction;764
T0765;2023-06-15;233.88;CAD;Transaction;765
T0766;2023-06-16;333.48;GBP;Transaction;766
T0767;2023-07-01;937.14;EUR;Transaction;767
T0768;2023-04-24;671.39;GBP;Transaction;768
T0769;2023-02-07;706.03;CAD;Transaction;769
T0770;2023-09-10;725.27;CAD;Transaction;770
T0771;2023-02-15;511.67;EUR;Transaction;771
T0772;2023-09-12;501.72;CAD;Transaction;772
T0773;2023-02-08;390.6;CAD;Transaction;773
T0774;2023-02-26;618.16;EUR;Transaction;774
T0775;2023-01-14;873.45;GBP;Transaction;775
T0776;2023-08-10;79.85;CAD;Transaction;776
T0777;2023-07-08;394.01;EUR;Transaction;777
T0778;2023-07-18;350.88;CAD;Transaction;778
T0779;2023-01-10;252.36;EUR;Transaction;779
T0780;2023-02-25;324.19;CAD;Transaction;780
T0781;2023-06-23;811.24;EUR;Transaction;781
T0782;2023-11-09;177.87;GBP;Transaction;782
T0783;2023-11-06;282.26;CAD;Transaction;783
T0784;2023-05-07;791.0;GBP;Transaction;784
T0785;2023-01-04;186.8;GBP;Transaction;785
T0786;2023-06-04;445.18;EUR;Transaction;786
T0787;2023-06-20;823.32;USD;Transaction;787
T0788;2023-06-24;944.89;EUR;Transaction;788
T0789;2023-07-04;327.04;CAD;Transaction;789
T0790;2023-03-17;804.47;CAD;Transaction;790
T0791;2023-04-13;211.41;GBP;Transaction;791
T0792;2023-10-25;565.61;CAD;Transaction;792
T0793;2023-01-12;676.35;USD;Transaction;793
T0794;2023-09-15;89.48;EUR;Transaction;794
T0795;2023-07-23;605.58;CAD;Transaction;795
T0796;2023-04-24;351.97;USD;Transaction;796
T0797;2023-08-23;562.23;CAD;Transaction;797
T0798;2023-01-04;431.12;EUR;Transaction;798
T0799;2023-03-16;42.27;CAD;Transaction;799
T0800;2023-04-10;986.86;USD;Transaction;800
T0801;2023-08-06;893.35;GBP;Transaction;801
T0802;2023-11-09;264.3;USD;Transaction;802
T0803;2023-02-17;26.05;GBP;Transaction;803
T0804;2023-12-21;555.62;GBP;Transaction;804
T0805;2023-03-05;480.19;GBP;Transaction;805
T0806;2023-02-14;429.71;GBP;Transaction;806
T0807;2023-09-06;61.72;GBP;Transaction;807
T0808;2023-03-11;997.34;GBP;Transaction;808
T0809;2023-07-10;650.98;EUR;Transaction;809
T0810;2023-01-01;56.76;GBP;Transaction;810
T0811;2023-11-25;550.94;USD;Transaction;811
T0812;2023-03-23;759.45;EUR;Transaction;812
T0813;2023-11-15;116.53;CAD;Transaction;813
T0814;2023-05-03;675.99;USD;Transaction;814
T0815;2023-08-28;356.42;GBP;Transaction;815
T0816;2023-06-16;658.1;USD;Transaction;816
T0817;2023-10-21;996.85;GBP;Transaction;817
T0818;2023-05-19;652.84;EUR;Transaction;818
T0819;2023-03-17;830.5;USD;Transaction;819
T0820;2023-12-11;957.77;EUR;Transaction;820
T0821;2023-03-05;901.31;USD;Transaction;821
T0822;2023-06-21;318.28;CAD;Transaction;822
T0823;2023-06-26;389.96;GBP;Transaction;823
T0824;2023-10-14;449.7;GBP;Transaction;824
T0825;2023-11-18;144.35;CAD;Transaction;825
T0826;2023-01-17;426.92;GBP;Transaction;826
T0827;2023-11-21;515.08;EUR;Transaction;827
T0828;2023-09-15;76.65;EUR;Transaction;828
T0829;2023-06-28;200.42;CAD;Transaction;829
T0830;2023-08-19;797.13;CAD;Transaction;830
T0831;2023-06-21;936.13;EUR;Transaction;831
T0832;2023-01-10;574.93;GBP;Transaction;832
T0833;2023-01-28;409.1;GBP;Transaction;833
T0834;2023-07-07;602.73;CAD;Transaction;834
T0835;2023-05-24;432.12;CAD;Transaction;835
T0836;2023-10-03;748.26;CAD;Transaction;836
T0837;2023-09-19;268.76;EUR;Transaction;837
T0838;2023-11-01;16.34;USD;Transaction;838
T0839;2023-07-11;115.37;EUR;Transaction;839
T0840;2023-09-09;123.53;USD;Transaction;840
T0841;2023-09-27;193.12;GBP;Transaction;841
T0842;2023-05-08;256.56;CAD;Transaction;842
T0843;2023-05-16;622.88;CAD;Transaction;843
T0844;2023-03-26;669.4;GBP;Transaction;844
T0845;2023-05-26;972.06;GBP;Transaction;845
T0846;2023-03-22;322.18;USD;Transaction;846
T0847;2023-06-15;679.08;EUR;Transaction;847
T0848;2023-06-03;791.76;EUR;Transaction;848
T0849;2023-07-10;636.22;GBP;Transaction;849
T0850;2023-12-28;275.52;CAD;Transaction;850
T0851;2023-02-19;193.4;CAD;Transaction;851
T0852;2023-03-18;729.18;GBP;Transaction;852
T0853;2023-10-01;792.28;EUR;Transaction;853
T0854;2023-12-12;461.69;CAD;Transaction;854
T0855;2023-07-11;463.43;USD;Transaction;855
T0856;2023-01-03;724.86;CAD;Transaction;856
T0857;2023-03-09;583.61;CAD;Transaction;857
T0858;2023-11-23;333.79;USD;Transaction;858
T0859;2023-08-11;449.59;EUR;Transaction;859
T0860;2023-01-23;276.69;EUR;Transaction;860
T0861;2023-04-24;474.86;EUR;Transaction;861
T0862;2023-10-12;556.55;CAD;Transaction;862
T0863;2023-02-13;351.81;GBP;Transaction;863
T0864;2023-07-01;161.46;USD;Transaction;864
T0865;2023-04-13;956.23;GBP;Transaction;865
T0866;2023-03-12;423.7;GBP;Transaction;866
T0867;2023-11-17;470.2;EUR;Transaction;867
T0868;2023-09-24;770.41;EUR;Transaction;868
T0869;2023-07-02;934.37;USD;Transaction;869
T0870;2023-09-18;471.5;EUR;Transaction;870
T0871;2023-12-12;748.76;GBP;Transaction;871
T0872;2023-12-04;556.94;GBP;Transaction;872
T0873;2023-10-11;24.53;USD;Transaction;873
T0874;2023-05-06;435.31;EUR;Transaction;874
T0875;2023-12-12;711.41;USD;Transaction;875
T0876;2023-10-25;246.52;CAD;Transaction;876
T0877;2023-10-03;816.27;USD;Transaction;877
T0878;2023-11-24;82.03;GBP;Transaction;878
T0879;2023-02-26;296.79;EUR;Transaction;879
T0880;2023-05-06;871.61;CAD;Transaction;880
T0881;2023-12-04;570.65;USD;Transaction;881
T0882;2023-01-17;25.25;CAD;Transaction;882
T0883;2023-01-19;588.65;CAD;Transaction;883
T0884;2023-08-01;892.54;EUR;Transaction;884
T0885;2023-07-09;728.38;GBP;Transaction;885
T0886;2023-08-08;346.67;EUR;Transaction;886
T0887;2023-12-02;406.64;GBP;Transaction;887
T0888;2023-03-15;476.8;GBP;Transaction;888
T0889;2023-08-22;261.58;CAD;Transaction;889
T0890;2023-01-08;68.51;GBP;Transaction;890
T0891;2023-01-04;829.69;USD;Transaction;891
T0892;2023-01-02;332.84;USD;Transaction;892
T0893;2023-03-07;677.31;EUR;Transaction;893
T0894;2023-06-19;817.12;USD;Transaction;894
T0895;2023-08-02;371.1;USD;Transaction;895
T0896;2023-04-07;810.91;CAD;Transaction;896
T0897;2023-11-25;899.04;USD;Transaction;897
T0898;2023-10-12;824.57;USD;Transaction;898
T0899;2023-09-15;305.17;CAD;Transaction;899
T0900;2023-08-18;975.49;EUR;Transaction;900
T0901;2023-04-22;54.99;GBP;Transaction;901
T0902;2023-07-22;359.9;USD;Transaction;902
T0903;2023-11-13;298.41;USD;Transaction;903
T0904;2023-01-13;685.8;USD;Transaction;904
T0905;2023-04-08;111.31;GBP;Transaction;905
T0906;2023-12-07;741.01;GBP;Transaction;906
T0907;2023-08-21;740.91;EUR;Transaction;907
T0908;2023-04-06;808.66;USD;Transaction;908
T0909;2023-03-18;274.29;EUR;Transaction;909
T0910;2023-11-16;142.23;GBP;Transaction;910
T0911;2023-07-17;211.55;CAD;Transaction;911
T0912;2023-01-22;854.94;EUR;Transaction;912
T0913;2023-09-06;94.09;GBP;Transaction;913
T0914;2023-02-23;850.74;EUR;Transaction;914
T0915;2023-11-15;856.77;USD;Transaction;915
T0916;2023-06-08;48.19;EUR;Transaction;916
T0917;2023-01-19;332.93;CAD;Transaction;917
T0918;2023-04-13;683.82;GBP;Transaction;918
T0919;2023-05-16;309.65;EUR;Transaction;919
T0920;2023-05-24;476.05;GBP;Transaction;920
T0921;2023-04-03;452.21;USD;Transaction;921
T0922;2023-01-24;65.49;CAD;Transaction;922
T0923;2023-03-10;535.44;USD;Transaction;923
T0924;2023-06-10;179.22;CAD;Transaction;924
T0925;2023-06-02;494.78;EUR;Transaction;925
T0926;2023-09-09;800.07;GBP;Transaction;926
T0927;2023-08-08;752.31;USD;Transaction;927
T0928;2023-05-05;809.3;CAD;Transaction;928
T0929;2023-10-24;374.24;EUR;Transaction;929
T0930;2023-09-17;196.05;GBP;Transaction;930
T0931;2023-12-05;46.87;CAD;Transaction;931
T0932;2023-01-09;753.11;GBP;Transaction;932
T0933;2023-10-02;531.28;CAD;Transaction;933
T0934;2023-05-11;58.23;USD;Transaction;934
T0935;2023-02-03;695.03;EUR;Transaction;935
T0936;2023-03-18;702.2;GBP;Transaction;936
T0937;2023-07-11;476.07;USD;Transaction;937
T0938;2023-02-13;180.47;CAD;Transaction;938
T0939;2023-03-14;285.04;USD;Transaction;939
T0940;2023-07-15;944.44;CAD;Transaction;940
T0941;2023-10-03;515.15;GBP;Transaction;941
T0942;2023-08-03;826.4;EUR;Transaction;942
T0943;2023-07-23;48.54;CAD;Transaction;943
T0944;2023-07-05;950.49;CAD;Transaction;944
T0945;2023-06-24;520.44;EUR;Transaction;945
T0946;2023-06-20;967.04;EUR;Transaction;946
T0947;2023-05-06;515.95;EUR;Transaction;947
T0948;2023-01-08;210.88;GBP;Transaction;948
T0949;2023-09-25;821.61;EUR;Transaction;949
T0950;2023-03-27;873.38;GBP;Transaction;950
T0951;2023-03-08;482.15;GBP;Transaction;951
T0952;2023-03-24;239.02;GBP;Transaction;952
T0953;2023-02-26;710.85;CAD;Transaction;953
T0954;2023-03-04;209.67;GBP;Transaction;954
T0955;2023-08-01;887.42;EUR;Transaction;955
T0956;2023-08-21;820.43;CAD;Transaction;956
T0957;2023-07-01;992.2;USD;Transaction;957
T0958;2023-10-21;489.84;CAD;Transaction;958
T0959;2023-02-05;890.78;CAD;Transaction;959
T0960;2023-05-13;657.3;USD;Transaction;960
T0961;2023-04-13;847.26;USD;Transaction;961
T0962;2023-01-19;456.88;CAD;Transaction;962
T0963;2023-08-02;688.7;GBP;Transaction;963
T0964;2023-02-05;191.81;CAD;Transaction;964
T0965;2023-09-04;841.06;EUR;Transaction;965
T0966;2023-11-28;248.96;CAD;Transaction;966
T0967;2023-10-04;346.63;GBP;Transaction;967
T0968;2023-01-06;548.39;EUR;Transaction;968
T0969;2023-03-02;993.17;EUR;Transaction;969
T0970;2023-11-23;323.45;CAD;Transaction;970
T0971;2023-04-16;455.06;CAD;Transaction;971
T0972;2023-07-05;816.45;EUR;Transaction;972
T0973;2023-12-24;126.38;EUR;Transaction;973
T0974;2023-05-21;150.86;USD;Transaction;974
T0975;2023-02-25;879.38;CAD;Transaction;975
T0976;2023-01-07;892.47;USD;Transaction;976
T0977;2023-07-09;732.97;EUR;Transaction;977
T0978;2023-05-27;748.39;CAD;Transaction;978
T0979;2023-05-02;626.48;EUR;Transaction;979
T0980;2023-05-08;459.96;CAD;Transaction;980
T0981;2023-04-03;139.47;CAD;Transaction;981
T0982;2023-11-05;771.66;USD;Transaction;982
T0983;2023-05-24;970.02;CAD;Transaction;983
T0984;2023-06-13;294.73;CAD;Transaction;984
T0985;2023-10-08;621.88;CAD;Transaction;985
T0986;2023-10-10;158.11;GBP;Transaction;986
T0987;2023-09-27;676.39;CAD;Transaction;987
T0988;2023-01-21;431.13;USD;Transaction;988
T0989;2023-12-28;775.76;CAD;Transaction;989
T0990;2023-08-10;34.14;EUR;Transaction;990
T0991;2023-01-02;222.5;USD;Transaction;991
T0992;2023-07-11;511.0;EUR;Transaction;992
T0993;2023-09-23;660.51;EUR;Transaction;993
T0994;2023-05-13;773.3;EUR;Transaction;994
T0995;2023-08-03;480.57;EUR;Transaction;995
T0996;2023-10-26;465.08;EUR;Transaction;996
T0997;2023-02-12;28.52;EUR;Transaction;997
T0998;2023-02-04;748.11;CAD;Transaction;998
T0999;2023-05-21;372.65;CAD;Transaction;999
T1000;2023-08-17;960.63;EUR;Transaction;1000
